단어,빈도수
루트,647
대강,76
현실,294
이선,25
칼로리,42
아예,205
다이어트,188
상극,3
굳이,222
해치,14
도움,302
사일런스,8
뷰르륵케,1
블랙,575
보리,146
판다,72
주심,71
와인,143
발비,20
소프,34
신제품,284
동아일보,84
명가,380
둘리,43
베베,74
여주,138
이지민,7
화이트,245
이탈리아,89
피에몬테,1
지역,1540
생산,1603
너리,41
프리미엄,344
종은,21
가비,21
네이스,2
바디,359
청량감,3
시즌,564
특징,2032
무슨,742
샤워,57
퍼슛,5
요건,41
전지현,45
아르,114
인기,702
여신,70
물방울,18
수국,13
하니,179
더더,33
포스터,166
예똘,1
김재현,14
카카오,1811
하이닉스,249
넷마블,488
대한항공,584
기아,349
방문,589
나비,197
엄마,563
대요,89
몽스,2
제일,696
자주,460
석수,7
팔천오백원,1
리만,5
사도,50
무료,1448
배송,635
생수,33
구입,205
타일,22
엠비비,1
친분,23
보리차,13
시리즈,449
버전,338
찰떡,97
어머나,14
셔나,6
자랑,179
이사,375
매실,31
생일,518
댓글,351
애덜,3
몬엑이들,1
음료,228
몬스타,376
엑스,1563
반말,29
요새,174
유교사상,1
어른,125
공경,4
청년,274
인성,360
후회,194
선택,624
몬베베,4
카민,4
콜북,73
메트,81
타래,249
매화수,1
였냐묭,1
최애,508
웰컴,36
저희,290
휴먼,168
장님,100
해주,64
데기,3
포카,1921
베란다,13
자신,671
이직,40
왕밤빵,5
몬엑,106
얼마나,430
진심,616
콩알,16
상태,615
주르륵,13
그림판,4
비비,142
자악,1
안해,172
폴티쥬,4
운프,1
모집,2687
남자,818
모습,661
말했쬬오,1
홈페이지,390
구경,210
스파다,3
지부,94
컨셉,248
가을,206
챠당챠당,1
이구,88
청량달달,1
찬희,92
이도,56
관부,49
터트린,10
동일인,12
태풍,79
의장,59
지정,285
피하,80
형평성,5
친족,5
개사,259
누락,27
총수,52
일가,98
사익,10
편취,4
규제,234
내부,194
시사저널,16
종탁,1
변곡점,15
재계,60
부상,138
재벌,248
변동,137
현안,15
관통,19
핵심,527
변수,46
이기,192
주체,67
정거,43
위원회,392
양상,28
곳곳,58
포착,118
공정위,110
비누,66
갸악,10
다가,276
소주잔,2
러시아,394
세대,271
정체,235
수출량,6
과일,140
리큐어,4
합주,8
급증,154
전체,456
대신,720
홀리,50
악화,96
양화,5
구축,633
알리,214
리큐르,3
년비,133
침체,42
상황,773
이진,20
선생님,461
마셧읍니,1
취함,2
계정,731
봤어욬,3
곱창,179
진리,63
러버,429
왜진,4
리가,97
라이트,778
리뉴얼,91
지부리,5
클립,99
최쉉,1
윤씨,29
두리,15
충성,56
판타지,105
베이글,5
자이언트,882
두꺼비,5
지상파,9
케이블,180
온라인,741
방영,100
고라파덕,1
가시,139
스프,109
비투,8
지기,82
독일,271
바이에른,2
풍요,13
로움,32
그대로,335
가득,156
정통,42
파울라너,1
타지,28
나가넴,1
일주일,154
컨텐츠,286
맥소,1
로운,9
둘이서,44
소맥,12
제안,235
빠미,2
미전,12
복귀,133
킹덤,139
으리,24
입가심,3
애정,117
라이,312
에세,9
사려,55
오른,182
주의자,35
답글,5997
졔졔,8
더욱,237
스폰서,43
차원,157
경품,172
거시,7
화댝,3
에스에프,122
나인,223
깨알,15
증맬루,2
홍보,404
해주시,104
문자,320
만세,70
천운,7
아침햇살,9
보답,26
넹글,4
프랑스,133
버그,51
김자영,16
수기,55
라거,30
소비자,329
운호,18
탄산음료,7
외연,2
확대,883
프리,695
알코올,29
수성,49
캘린더,29
날씨,220
고래,158
의솨,1
하비,19
야화,3
카스,202
당신,914
춘몽,1
가나,84
신용,160
최성수,3
범버미,2
기요,6
등기,157
뜬금,47
자해,17
웹툰,486
끝물,9
콘텐츠,1240
진저에일,2
단종,28
실패,253
배너,25
땡큐,175
생도,4
다음생,6
함정,35
만하,61
빌런,77
시라,58
오리,732
안주,78
하와,14
이안,121
피자,201
해결,320
싱가포르,97
