단어,빈도수,라벨링
인재,359,0
뮤직,358,0
지식,358,1
자산,358,0
다나,358,0
가이드,357,0
존재,357,0
혁명,357,1
주식회사,357,0
정책,356,0
하츠,356,0
동생,356,0
한라,356,0
스트,356,0
고용,355,0
노력,355,0
대선,355,0
마켓,355,0
공업,354,0
형태,354,0
로템,354,0
베이스,354,0
저축은행,353,0
니드,353,0
분할,353,0
표현,352,0
장관,352,0
새벽,352,0
한양,352,0
코디,352,0
이온,352,0
우리금융,351,0
엘리트,351,0
스마트폰,351,0
솔트룩스,351,0
대교,351,0
댓글,351,0
스타일,350,0
피씨,349,0
기아,349,0
후성,348,0
안정,348,1
현지,347,0
콘텐트,346,0
상승세,346,0
애니,346,0
찾기,346,0
음식,346,0
제외,345,-2
손실,344,-3
피해,344,-3
다운,344,-2
이노베이션,344,0
프리미엄,344,0
부업,343,0
이티,343,0
항공사,342,0
앤지,342,0
경험,342,0
마크,341,0
빙그레,341,0
퓨얼,341,0
퀴즈,340,0
아센,340,0
출신,340,0
우양,340,0
티슈,340,0
듀오,339,0
풍산,339,0
피부,339,0
스키,339,0
쌍방울,339,0
감독,339,0
홈쇼핑,339,0
후원,338,0
강원랜드,338,0
버전,338,0
동화약품,338,0
상대,338,0
신종,338,0
구독,338,0
중단,338,0
공격,337,0
씨아이,337,0
그네,337,0
오텍,337,0
일괄,337,0
한독,337,0
웹젠,337,0
감소,337,-2
정공,337,0
엘앤,336,0
섹파,336,0
그대로,335,0
중소기업,335,0
천재,335,0
적용,335,1
리얼,335,0
수원,335,0
쑥스터,334,0
혜주,334,0
분양,333,0
편집,333,0
금일,333,0
지인,333,0
다날,332,0
한가위,332,0
넥스트,332,0
실제,331,0
제휴,331,1
코인,331,0
증권사,330,0
세방,330,0
회복,330,1
대회,330,0
샘코,329,0
소비자,329,0
메디슨,329,0
결혼,329,0
주말,328,0
바이러스,328,1
덕질,328,0
이불,328,0
역사,327,0
도어,327,0
아트,327,0
유한양행,327,0
과거,327,0
하트,327,0
단체,326,0
폐기물,326,-1
휴가,326,0
비비안,326,0
주연,326,0
적자,326,-3
블록,325,0
차이,325,0
배정,325,0
크리스탈,325,0
이미지,324,0
사망,324,-3
파마,324,0
참가,323,0
감자,323,0
대우,323,0
경북,323,0
브레인,323,0
선임,322,0
에브리데이,322,0
수상,322,0
선우,322,0
영풍,322,0
체리,321,0
피해자,321,-2
연우,321,0
와이드,321,0
아스타,320,0
해결,320,1
금지,320,-1
문자,320,0
씨티,320,0
안철수,320,0
물량,320,0
가끔,320,0
혜인,320,0
단기,319,0
스팩,319,0
테스트,319,0
쌍용,319,0
증정,319,0
멤버,318,0
대답,318,0
자연,318,0
입장,318,0
폴리,318,0
알톤스포츠,318,0
도시,318,0
거지,318,-2
벌써,317,0
아아,317,-1
기업인,317,0
물질,317,0
촬영,316,0
메드팩토,316,0
등등,316,0
삼부,316,0
보라,316,0
의사,315,0
로부터,315,0
매력,315,1
보이스,315,0
도이치,315,0
공략,314,0
조정,314,-1
미로,314,0
게임빌,314,0
신성,314,0
필요,314,0
티웨이항공,313,0
맛집,313,0
와이지엔터테인먼트,313,0
부방,313,0
윈스,312,0
라이,312,0
지지,311,1
우려,311,-2
표정,311,0
쎄미켐,311,0
친환경,311,1
뉴시스,310,0
진입,310,1
미리,310,0
유비온,310,0
파라다이스,310,0
정밀,309,1
금리,309,0
최소,309,-2
토크,309,0
스퀘어,309,0
대학교,309,0
카지노,308,0
경매,308,-1
스타트업,308,0
비하인드,308,0
온스,308,0
노진,308,0
라임,307,0
딜리,307,0
다리,306,0
쓰레기,306,-3
모나미,306,0
수젠텍,306,0
손오공,306,0
회수,306,-2
포기,305,-2
수가,305,0
주간,305,0
지구,305,0
매입,304,0
제출,304,0
씨앗,303,0
따위,303,-1
쇼핑몰,303,0
엘리,303,0
오이,303,0
남신,303,0
학원,303,0
겨울,302,0
연봉,302,0
도움,302,0
부터,302,0
이자,301,0
암호,301,0
유치,301,1
화이팅,301,0
코콤,300,0
의약품,300,0
한섬,300,0
고생,300,-1
세미,300,0
시민,300,0
기린,299,0
상위,299,1
데뷔,299,0
마이크로,298,0
주택,298,0
헬로비전,298,0
채팅,298,0
네오위즈,297,0
네트웍,297,0
접종,297,0
초반,297,0
워커,297,0
노랑,297,0
사항,297,0
야스,297,0
기부,297,1
장난,297,0
용품,297,0
동시,297,0
대부분,297,0
모임,297,0
힘스,297,0
급락,296,-3
대형,296,0
환인제약,296,0
로스웰,296,0
콘서트,296,0
헬릭스,295,0
텔레콤,295,0
조이시티,295,0
로이스,295,0
영국,294,0
카피,294,0
엑소,294,0
현실,294,-1
인정,294,1
단계,293,0
알고리즘,293,0
빅데이터,293,0
부탁,293,0
장주,292,0
에스원,292,0
야구,292,0
코로나바이러스,292,0
타고,292,0
출전,292,0
광림,292,0
넵튠,292,0
주장,292,0
보로,292,0
방역,291,0
커플,291,0
풍선,291,0
토스,291,0
출발,290,1
모나리자,290,0
불법,290,-3
와이지,290,0
금요일,290,0
도영,290,0
지오,290,0
관계자,290,-1
라운드,290,0
대유,290,0
무진,290,0
시세,290,0
에스엘,290,0
저희,290,0
세로,289,0
비피,289,0
잘못,289,-2
카프로,289,0
체크,289,0
협상,288,0
물류,288,0
타임즈,288,0
서연,287,0
터치,287,0
지급,287,0
전일,287,0
특별,287,0
소통,287,1
평화,287,1
파티,287,0
비아이,286,0
서원,286,0
철관,286,0
신흥,286,0
컨텐츠,286,0
매장,286,0
솔로,286,0
인스타,285,0
독감,285,0
전혀,285,-2
스페셜,285,0
매우,285,0
조합,285,0
해당,285,0
현황,285,0
책임,285,-2
대충,285,-1
월요일,285,0
지정,285,0
이드,285,0
테라,285,0
신제품,284,1
원료,284,0
공구,284,0
환영,284,1
직캠,284,0
빅텍,284,0
일진,283,0
애경,283,0
약속,283,0
북한,283,0
관광,283,0
영어,283,0
머큐리,282,0
비엘,282,0
섹트,282,0
혜택,282,1
골프장,282,0
뉴보텍,282,0
조국,282,0
우주,282,0
사상,282,0
각종,282,0
전자신문,281,0
당장,281,0
소녀,281,0
예술,281,0
황제,281,0
모빌리티,280,0
러셀,280,0
삼양식품,280,0
저기,280,0
프로비,280,0
