기업명,감성지수
이수화학,13
동국제약,13
마크로젠,13
씨앤에스링크,13
케이디비생명,13
한국선재,13
오로스테크놀로지,13
동양,13
광전자,13
이엠네트웍스,13
티로보틱스,13
아이비김영,13
에이디엠코리아,13
휴비츠,13
NI스틸,13
예스티,13
룽투코리아,13
신진에스엠,13
텔콘RF제약,13
PI첨단소재,13
우리기술,13
대주코레스,13
화승코퍼레이션,13
NH프라임리츠,12
스템랩,12
신세계인터내셔날,12
한미사이언스,12
원익피앤이,12
에이치피오,12
셀트리온제약,12
인카금융서비스,12
범양건영,12
남광토건,12
엔솔바이오사이언스,12
이화전기,12
유일에너테크,12
대우산업개발,12
고려시멘트,12
한국전자인증,12
우양,12
큐캐피탈,12
마이크로디지탈,12
화인베스틸,12
쌍용정보통신,12
엘티삼보,12
APS홀딩스,12
참좋은여행,12
우리넷,12
영우디에스피,12
대신정보통신,12
한국금융지주,12
씨티씨바이오,12
퓨쳐켐,12
KC코트렐,12
켐트로닉스,12
이도바이오,12
코스텍시스,12
엑사이엔씨,12
삼영화학,12
세종텔레콤,12
에쓰씨엔지니어링,11
이엠텍,11
코너스톤네트웍스,11
한국주강,11
SG세계물산,11
코리안리,11
샘씨엔에스,11
엘브이엠씨홀딩스,11
효성오앤비,11
모바일어플라이언스,11
계양전기,11
갤럭시아머니트리,11
포인트엔지니어링,11
넥센타이어,11
덕양산업,11
효성화학,11
에스에너지,11
금호석유,11
SGA솔루션즈,11
휴온스블러썸,11
지에스엔텍,11
삼성출판사,11
모베이스전자,11
씨에스윈드,11
이베스트투자증권,11
미래테크놀로지,11
아이원스,11
마이더스AI,11
영풍정밀,11
피제이메탈,11
대모,11
KTcs,11
에이치시티,11
국도화학,11
디에스케이,11
켐온,11
노드메이슨,10
와이제이엠게임즈,10
디와이,10
윌비스,10
네오티스,10
한신공영,10
SIMPAC,10
엠투아이,10
도화엔지니어링,10
신한알파리츠,10
한솔제지,10
칩스앤미디어,10
SG글로벌,10
신화콘텍,10
다함이텍,10
아미노로직스,10
코리아에프티,10
인피니트헬스케어,10
현우산업,10
위니아딤채,10
KPX홀딩스,10
인포마크,10
필옵틱스,10
솔브레인홀딩스,10
우리조명,10
엔에스쇼핑,10
곰앤컴퍼니,10
에스트래픽,10
서린바이오,10
유니온커뮤니티,10
옵트론텍,10
이지스레지던스리츠,10
티사이언티픽,10
이상네트웍스,10
에이디칩스,10
SGC이테크건설,10
한국카본,10
이지바이오,10
한화플러스,10
대한제강,10
큐렉소,10
팬오션,10
대성창투,10
세아홀딩스,10
베트남개발1,10
팅크웨어,10
GS글로벌,10
휴벡셀,9
현대비앤지스틸,9
아모레퍼시픽,9
연이비앤티,9
해태제과식품,9
대창솔루션,9
남화토건,9
하림지주,9
씨큐브,9
JB금융지주,9
아이케이세미콘,9
이구산업,9
성신양회,9
감성코퍼레이션,9
SNT중공업,9
신성통상,9
SFA반도체,9
동국S&C,9
테크트랜스,9
디지탈옵틱,9
경인전자,9
아모레G3우,9
자비스,9
스튜디오산타클로스,9
제주국제컨벤,9
삼아알미늄,9
케이씨텍,9
디지털대성,9
영원무역홀딩스,9
다원넥스뷰,9
엔에이치스팩17호,9
메가스터디,9
제주반도체,9
미래에셋대우스팩3호,9
성광벤드,9
코퍼스코리아,9
씨앤씨인터내셔널,9
테크엔,9
세진중공업,9
엠소닉,9
태림포장,9
아이디피,9
선진뷰티사이언스,8
제노텍,8
한컴MDS,8
한독크린텍,8
동운아나텍,8
디엠티,8
클리노믹스,8
알엔투테크놀로지,8
창해에탄올,8
셀바스AI,8
한솔케미칼,8
넥스트아이,8
